city,timestamp,aqi,co,no2,o3,so2,pm2_5,pm10,temperature,humidity,collection_status
Lucknow,2025-01-13 09:16:49,5,667.57,6.43,141.62,30.52,126.21,134.11,22.71,38,success
Hyderabad,2025-01-13 09:16:52,4,473.98,8.48,127.32,15.26,56.05,64,28.19,39,success
Jaipur,2025-01-13 09:16:54,4,647.54,4.71,128.75,8.23,66.92,71.9,17.6,55,success
Patna,2025-01-13 09:16:57,5,774.38,3.98,153.07,10.97,135.22,143.23,22.97,46,success
Delhi,2025-01-13 10:16:15,5,894.55,22.28,111.58,38.62,98.53,120.53,16.06,67,success
Mumbai,2025-01-13 10:16:18,5,1121.52,27.42,188.83,40.05,141.73,182.26,33,38,success
Chennai,2025-01-13 10:16:20,2,453.95,6.17,92.98,6.97,20.35,23.01,27.39,80,success
Kolkata,2025-01-13 10:16:22,5,1028.06,20.56,164.51,42.44,180.77,212.53,25.96,47,success
Bengaluru,2025-01-13 10:16:25,2,427.25,6.34,87.98,3.99,6.29,7.2,25.01,73,success
Ahmedabad,2025-01-13 10:16:28,4,507.36,8.23,143.05,23.6,50.07,62.84,23.04,40,success
Lucknow,2025-01-13 10:16:30,5,714.3,3.9,138.76,8.82,109.71,118.81,22.6,38,success
Hyderabad,2025-01-13 10:16:33,4,514.03,11.14,124.45,17.88,60.94,70.7,28.68,51,success
Jaipur,2025-01-13 10:16:35,4,714.3,9.85,133.04,12.4,70.8,76.94,18.6,52,success
Patna,2025-01-13 10:16:38,5,547.41,4.93,127.32,8.35,82.62,89.67,22.97,46,success
Delhi,2025-01-13 11:12:32,5,1174.93,32.56,94.41,28.37,123,154.8,16.06,72,success
Mumbai,2025-01-13 11:12:34,5,867.84,21.94,150.2,24.8,104.72,137.05,31.03,48,success
Chennai,2025-01-13 11:12:36,2,467.3,7.71,90.84,7.51,20.77,23.95,26.65,80,success
Kolkata,2025-01-13 11:12:39,5,1455.31,39.76,123.02,42.92,214.82,272.64,24.96,50,success
Bengaluru,2025-01-13 11:12:41,2,440.6,8.48,83.69,4.11,7.09,8.06,24.93,75,success
Ahmedabad,2025-01-13 11:12:43,3,527.38,9.85,134.47,16.69,49.11,61.41,23.04,38,success
Lucknow,2025-01-13 11:12:46,5,754.36,6.86,110.15,5.31,110.41,122.54,21.73,42,success
Hyderabad,2025-01-13 11:12:48,4,527.38,13.02,115.87,17.41,61.24,70.96,27.19,44,success
Jaipur,2025-01-13 11:12:51,5,934.6,21.42,111.58,14.07,82.82,91.44,17.6,55,success
Patna,2025-01-13 11:12:53,5,747.68,10.03,111.58,9.54,110.67,121.77,21.97,56,success
Delhi,2025-01-13 12:30:17,5,1522.06,50.72,54.36,20.27,132.55,175.06,15.06,77,success
Mumbai,2025-01-13 12:30:19,5,814.44,21.94,131.61,19.79,96.8,124.69,29.03,48,success
Chennai,2025-01-13 12:30:21,2,500.68,11.14,84.4,7.87,24,29.11,26.5,85,success
Kolkata,2025-01-13 12:30:24,5,2429.96,82.94,56.51,53.41,294.89,399.35,22.96,60,success
Bengaluru,2025-01-13 12:30:26,2,467.3,12.17,74.39,4.35,8.02,9.05,24.19,78,success
Ahmedabad,2025-01-13 12:30:28,3,654.22,22.62,92.98,9.42,48.29,60.47,22.04,37,success
Lucknow,2025-01-13 12:30:31,5,881.2,14.91,75.82,4.11,119.32,137.8,17.13,55,success
Hyderabad,2025-01-13 12:30:33,4,707.63,25.36,88.69,23.84,68.57,79.14,26.19,38,success
Jaipur,2025-01-13 12:30:35,5,1268.39,43.53,57.94,13.95,98.1,111.29,16.6,63,success
Patna,2025-01-13 12:30:38,5,1068.12,17.14,85.12,8.7,169.86,186.78,20.97,60,success
Delhi,2025-01-13 13:21:06,5,1522.06,50.72,54.36,20.27,132.55,175.06,14.06,88,success
Mumbai,2025-01-13 13:21:08,5,807.76,21.76,131.61,22.17,102.02,125.64,28.03,51,success
Chennai,2025-01-13 13:21:10,2,500.68,11.14,84.4,7.87,24,29.11,26.24,85,success
Kolkata,2025-01-13 13:21:12,5,2429.96,82.94,56.51,53.41,294.89,399.35,21.96,64,success
Bengaluru,2025-01-13 13:21:15,2,514.03,17.31,62.23,5.25,9.98,11.25,22,82,success
Ahmedabad,2025-01-13 13:21:17,3,654.22,22.62,92.98,9.42,48.29,60.47,20.04,45,success
Lucknow,2025-01-13 13:21:19,5,881.2,14.91,75.82,4.11,119.32,137.8,17.03,55,success
Hyderabad,2025-01-13 13:21:22,4,707.63,25.36,88.69,23.84,68.57,79.14,24.19,57,success
Jaipur,2025-01-13 13:21:24,5,1268.39,43.53,57.94,13.95,98.1,111.29,14.6,72,success
Patna,2025-01-13 13:21:26,5,1068.12,17.14,85.12,8.7,169.86,186.78,19.97,64,success
Delhi,2025-01-13 14:14:26,5,1508.71,47.3,48.64,17.64,129.87,177.03,14.06,88,success
Mumbai,2025-01-13 14:14:28,5,921.25,27.08,121.59,28.61,112.9,139.69,29.03,48,success
Chennai,2025-01-13 14:14:31,3,520.71,11.48,82.97,7.99,27.36,34.5,26.24,87,success
Kolkata,2025-01-13 14:14:33,5,3738.4,131.61,15.02,75.34,390.43,523.94,20.96,68,success
Bengaluru,2025-01-13 14:14:35,2,554.09,20.05,53.64,6.26,13.17,14.89,21.82,83,success
Ahmedabad,2025-01-13 14:14:38,4,801.09,32.56,62.94,8.23,52.45,66.49,19.04,48,success
Lucknow,2025-01-13 14:14:40,5,921.25,15.94,69.38,4.11,123.51,143.66,16.2,58,success
